,Empty,Macroalgae mimic,Turf mimic,Amansia,Sargassum,S nigricans,S punctatus
Empty,0,31,11,18,35,53,64
Macroalgae mimic,,0,-48,9,18,43,38
Turf mimic,,,0,15,12,47,48
Amansia,,,,0,20,33,28
Sargassum,,,,,0,24,18
S nigricans,,,,,,0,-29
S punctatus,,,,,,,
