Sample ID,Coral trt,Algal trt,Coral colony ID,Combined trt
PR.SG.4,Porites,Sargassum,Porites-4,Porites-Sargassum
AP.MM.5,Acropora,Macroalgae mimic,Acropora-5,Acropora-Macroalgae mimic
PR.TM.12,Porites,Turf mimic,Porites-12,Porites-Turf mimic
AP.TM.3,Acropora,Turf mimic,Acropora-3,Acropora-Turf mimic
AP.SG.1,Acropora,Sargassum,Acropora-1,Acropora-Sargassum
PR.SG.6,Porites,Sargassum,Porites-6,Porites-Sargassum
PR.E.1,Porites,Empty,Porites-1,Porites-Empty
PR.MM.3,Porites,Macroalgae mimic,Porites-3,Porites-Macroalgae mimic
AP.AM.2,Acropora,Amansia,Acropora-2,Acropora-Amansia
AP.AM.12,Acropora,Amansia,Acropora-12,Acropora-Amansia
PR.E.6,Porites,Empty,Porites-6,Porites-Empty
AP.E.6,Acropora,Empty,Acropora-6,Acropora-Empty
PR.MM.2,Porites,Macroalgae mimic,Porites-2,Porites-Macroalgae mimic
PR.SN.1,Porites,S nigricans,Porites-1,Porites-S nigricans
AP.SN.2,Acropora,S nigricans,Acropora-2,Acropora-S nigricans
AP.SN.7,Acropora,S nigricans,Acropora-7,Acropora-S nigricans
AP.AM.10,Acropora,Amansia,Acropora-10,Acropora-Amansia
AP.AM.3,Acropora,Amansia,Acropora-3,Acropora-Amansia
PR.MM.7,Porites,Macroalgae mimic,Porites-7,Porites-Macroalgae mimic
AP.MM.3,Acropora,Macroalgae mimic,Acropora-3,Acropora-Macroalgae mimic
PR.E.10,Porites,Empty,Porites-10,Porites-Empty
AP.SG.12,Acropora,Sargassum,Acropora-12,Acropora-Sargassum
AP.AM.7,Acropora,Amansia,Acropora-7,Acropora-Amansia
AP.MM.8,Acropora,Macroalgae mimic,Acropora-8,Acropora-Macroalgae mimic
AP.SP.2,Acropora,S punctatus,Acropora-2,Acropora-S punctatus
AP.E.5,Acropora,Empty,Acropora-5,Acropora-Empty
PR.SG.8,Porites,Sargassum,Porites-8,Porites-Sargassum
PR.SP.1,Porites,S punctatus,Porites-1,Porites-S punctatus
AP.SG.8,Acropora,Sargassum,Acropora-8,Acropora-Sargassum
AP.AM.1,Acropora,Amansia,Acropora-1,Acropora-Amansia
AP.E.8,Acropora,Empty,Acropora-8,Acropora-Empty
AP.MM.11,Acropora,Macroalgae mimic,Acropora-11,Acropora-Macroalgae mimic
PR.TM.8,Porites,Turf mimic,Porites-8,Porites-Turf mimic
PR.TM.11,Porites,Turf mimic,Porites-11,Porites-Turf mimic
PR.MM.5,Porites,Macroalgae mimic,Porites-5,Porites-Macroalgae mimic
AP.SN.11,Acropora,S nigricans,Acropora-11,Acropora-S nigricans
AP.SG.11,Acropora,Sargassum,Acropora-11,Acropora-Sargassum
AP.SN.4,Acropora,S nigricans,Acropora-4,Acropora-S nigricans
PR.MM.6,Porites,Macroalgae mimic,Porites-6,Porites-Macroalgae mimic
AP.TM.7,Acropora,Turf mimic,Acropora-7,Acropora-Turf mimic
PR.AM.3,Porites,Amansia,Porites-3,Porites-Amansia
PR.AM.6,Porites,Amansia,Porites-6,Porites-Amansia
PR.SP.2,Porites,S punctatus,Porites-2,Porites-S punctatus
AP.MM.6,Acropora,Macroalgae mimic,Acropora-6,Acropora-Macroalgae mimic
AP.SP.7,Acropora,S punctatus,Acropora-7,Acropora-S punctatus
PR.SG.5,Porites,Sargassum,Porites-5,Porites-Sargassum
AP.E.7,Acropora,Empty,Acropora-7,Acropora-Empty
AP.TM.8,Acropora,Turf mimic,Acropora-8,Acropora-Turf mimic
AP.SN.6,Acropora,S nigricans,Acropora-6,Acropora-S nigricans
PR.SG.1,Porites,Sargassum,Porites-1,Porites-Sargassum
PR.TM.10,Porites,Turf mimic,Porites-10,Porites-Turf mimic
PR.TM.7,Porites,Turf mimic,Porites-7,Porites-Turf mimic
AP.TM.10,Acropora,Turf mimic,Acropora-10,Acropora-Turf mimic
AP.SN.5,Acropora,S nigricans,Acropora-5,Acropora-S nigricans
PR.AM.9,Porites,Amansia,Porites-9,Porites-Amansia
PR.SG.2,Porites,Sargassum,Porites-2,Porites-Sargassum
PR.E.7,Porites,Empty,Porites-7,Porites-Empty
PR.SP.5,Porites,S punctatus,Porites-5,Porites-S punctatus
AP.SG.6,Acropora,Sargassum,Acropora-6,Acropora-Sargassum
PR.TM.1,Porites,Turf mimic,Porites-1,Porites-Turf mimic
PR.SP.7,Porites,S punctatus,Porites-7,Porites-S punctatus
PR.E.5,Porites,Empty,Porites-5,Porites-Empty
PR.AM.8,Porites,Amansia,Porites-8,Porites-Amansia
PR.SN.6,Porites,S nigricans,Porites-6,Porites-S nigricans
AP.E.2,Acropora,Empty,Acropora-2,Acropora-Empty
PR.E.8,Porites,Empty,Porites-8,Porites-Empty
AP.SG.5,Acropora,Sargassum,Acropora-5,Acropora-Sargassum
AP.MM.7,Acropora,Macroalgae mimic,Acropora-7,Acropora-Macroalgae mimic
AP.AM.11,Acropora,Amansia,Acropora-11,Acropora-Amansia
AP.TM.6,Acropora,Turf mimic,Acropora-6,Acropora-Turf mimic
PR.SN.3,Porites,S nigricans,Porites-3,Porites-S nigricans
PR.SN.5,Porites,S nigricans,Porites-5,Porites-S nigricans
PR.TM.5,Porites,Turf mimic,Porites-5,Porites-Turf mimic
PR.SG.7,Porites,Sargassum,Porites-7,Porites-Sargassum
PR.MM.8,Porites,Macroalgae mimic,Porites-8,Porites-Macroalgae mimic
PR.AM.7,Porites,Amansia,Porites-7,Porites-Amansia
AP.AM.8,Acropora,Amansia,Acropora-8,Acropora-Amansia
PR.SN.9,Porites,S nigricans,Porites-9,Porites-S nigricans
AP.AM.6,Acropora,Amansia,Acropora-6,Acropora-Amansia
